SymbolType	Id	Name	Priority	Args
1	0	0	0	0
2	0	a	0	0
2	1	b	0	0
2	2	c	0	0
2   3   t   0   0
2   4   pi  0   0
3	0	x	0	0
3	1	y	0	0
4	0	*	4	2
4	1	/	4	2
4	2	+	5	2
4	3	-	5	2
4	5	<=	7	2
4	4	<	7	2
4	7	>=	7	2
4	6	>	7	2
4	8	==	8	2
4	9	!=	8	2
4	10	&&	12	2
4	11	^^	13	2
4	12	||	14	2
4	13	-	3	1
4	14	+	3	1
4	65	!	3	1
5	15	radians	0	1
5	16	degrees	0	1
5	17	sin	0	1
5	18	cos	0	1
5	19	tan	0	1
5	20	asin	0	1
5	21	acos	0	1
5	22	atan	0	2
5	23	atan	0	1
5	24	sinh	0	1
5	25	cosh	0	1
5	26	tanh	0	1
5	27	asinh	0	1
5	28	acosh	0	1
5	29	atanh	0	1
5	30	pow	0	2
5	31	exp	0	1
5	32	log	0	1
5	33	exp2	0	1
5	34	log2	0	1
5	35	sqrt	0	1
5	36	inversesqrt	0	1
5	37	abs	0	1
5	38	sign	0	1
5	39	floor	0	1
5	40	trunc	0	1
5	41	round	0	1
5	42	roundEven	0	1
5	43	ceil	0	1
5	44	fract	0	1
5	45	mod	0	2
5	46	modf	0	2
5	47	min	0	2
5	48	max	0	2
5	49	clamp	0	3
5	50	mix	0	3
5	51	step	0	2
5	52	smoothstep	0	3
5	53	isnan	0	1
5	54	isinf	0	1
5	55	fma	0	3
5	56	frexp	0	2
5	58	length	0	1
5	59	distance	0	2
5	60	dot	0	2
5	61	normalize	0	1
5	62	faceforward	0	3
5	63	reflect	0	2
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
